,zipcode,<20,20-29,30-39,40-49,50-59,60-69,70-79,80+,White,Black,Left Blank,Other,Asian,Hispanic,NH/PI*,AI/AN**,Male,Female,Unknown/Left Blank
315,61704,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,9,0
316,61705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,61761,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,10,0
318,61764,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
319,61801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
320,61802,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,7,7,0
321,61820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,61821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
323,61822,0,6,0,0,8,0,0,0,12,0,0,0,0,0,0,0,8,15,0
324,61853,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
325,61874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,61910,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
327,62002,0,0,0,0,0,0,0,0,7,7,6,0,0,0,0,0,7,12,0
328,62025,0,0,0,6,0,0,0,0,9,0,7,0,0,0,0,0,9,9,0
329,62034,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
330,62035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,62040,0,0,0,6,7,0,0,0,12,0,12,0,0,0,0,0,7,20,0
332,62060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,62095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,62201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
335,62203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,62204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,62206,0,0,0,7,0,0,0,0,0,15,0,0,0,0,0,0,7,10,0
338,62207,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,8,6,0
339,62208,0,0,0,0,0,6,0,0,7,0,6,0,0,0,0,0,9,8,0
340,62220,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0
341,62221,0,0,0,0,0,0,0,0,6,7,9,0,0,0,0,0,8,14,0
342,62223,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,11,0
343,62226,0,0,0,0,10,6,0,0,10,8,13,0,0,0,0,0,11,19,0
344,62233,0,0,6,6,0,0,0,0,18,0,0,0,0,0,0,0,12,9,0
345,62234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
346,62236,0,0,0,0,0,0,0,17,18,0,6,0,0,0,0,0,0,18,0
347,62258,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
348,62265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,62269,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,9,8,0
350,62278,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0
351,62294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,62298,0,0,0,0,8,8,0,0,11,0,7,0,0,0,0,0,7,14,0
353,62301,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,7,0,0
